source,target,weight,count,tags
dreis2211,sdeleuze,4.0,1,pr_review:1
wilkinsona,pirgeo,24.0,6,pr_review:6
snicoll,mdeinum,4.0,1,pr_review:1
wilkinsona,jerrinot,8.0,2,pr_review:2
snicoll,AaronTraas,4.0,1,pr_review:1
wilkinsona,vashisthabhinav,8.0,2,pr_review:2
aifex,vladdoster,4.0,1,pr_changes_requested:1
m1ngyuan,VinodAnandan,4.0,1,pr_review:1
wilkinsona,chang-chao,4.0,1,pr_review:1
wilkinsona,brneto,8.0,2,pr_review:2
michael-simons,meistermeier,12.0,3,pr_review:3
snicoll,cruftex,8.0,2,pr_review:1;pr_changes_requested:1
wilkinsona,Raheela1024,8.0,2,pr_review:1;pr_changes_requested:1
wilkinsona,johnnywiller,4.0,1,pr_review:1
vitor-moraes-ifood,rodolphocouto,4.0,1,pr_approved:1
snicoll,TwiN,4.0,1,pr_review:1
mhalbritter,izeye,8.0,2,pr_review:1;pr_approved:1
onobc,almogtavor,4.0,1,pr_review:1
mbhave,ttddyy,4.0,1,pr_review:1
wilkinsona,matiasdsalerno,4.0,1,pr_review:1
wilkinsona,Siddhant-K-code,8.0,2,pr_review:2
wilkinsona,marcingrzejszczak,28.0,7,pr_review:7
quaff,wanger26,8.0,2,pr_review:2
gabrielerzinger,rodolphocouto,4.0,1,pr_approved:1
imjmakki,otaconix,4.0,1,pr_review:1
szpak,dreis2211,16.0,4,pr_review:3;pr_approved:1
snicoll,christophstrobl,4.0,1,pr_review:1
Schifty1988,vpavic,4.0,1,pr_review:1
injectives,meistermeier,8.0,2,pr_review:2
philwebb,dreis2211,5.0,1,pr_merged:1
dsyer,odrotbohm,10.0,2,pr_merged:2
philwebb,terminux,8.0,2,pr_review:2
wilkinsona,ecnabogs,8.0,2,pr_review:2
wilkinsona,scordio,28.0,7,pr_review:7
wilkinsona,L00kian,4.0,1,pr_review:1
snicoll,dominiccroce,12.0,3,pr_review:3
snicoll,chinmoy12c,4.0,1,pr_review:1
meltsufin,spencergibb,4.0,1,pr_approved:1
jonatan-ivanov,johnnywiller,4.0,1,pr_review:1
snicoll,vpavic,4.0,1,pr_review:1
snicoll,izeye,148.0,37,pr_review:35;pr_approved:1;pr_changes_requested:1
wilkinsona,vignesh1992,4.0,1,pr_changes_requested:1
wilkinsona,evenh,12.0,3,pr_review:2;pr_changes_requested:1
ilya123s,cvienot,8.0,2,pr_review:1;pr_approved:1
wilkinsona,Buzzardo,16.0,4,pr_review:4
philwebb,jkschneider,4.0,1,pr_review:1
rstoyanchev,dsyer,12.0,3,pr_review:3
spencergibb,szantopeter,4.0,1,pr_review:1
snicoll,jkhoward,4.0,1,pr_review:1
snicoll,tomazfernandes,4.0,1,pr_review:1
luvarqpp,nosan,8.0,2,pr_review:2
philwebb,krzyk,4.0,1,pr_review:1
wilkinsona,Scott-YuYan,4.0,1,pr_review:1
PascalSchumacher,hatefpalizgar,4.0,1,pr_review:1
snicoll,emerkle826,28.0,7,pr_review:7
mhalbritter,jonatan-ivanov,16.0,4,pr_review:4
snicoll,vkiriushkin,8.0,2,pr_review:1;pr_changes_requested:1
wilkinsona,gregturn,8.0,2,pr_review:1;pr_changes_requested:1
philwebb,mhalbritter,4.0,1,pr_review:1
shakuzen,mhalbritter,12.0,3,pr_review:3
snicoll,pkostrzewa,8.0,2,pr_review:2
snicoll,htztomic,8.0,2,pr_review:2
jonatan-ivanov,timpeeters,4.0,1,pr_review:1
tiago-brito-ifood,rodolphocouto,4.0,1,pr_approved:1
bsideup,polarbear567,4.0,1,pr_review:1
wilkinsona,onobc,164.0,41,pr_review:39;pr_changes_requested:2
odrotbohm,quaff,4.0,1,pr_review:1
therealaleko,mstahv,4.0,1,pr_review:1
wilkinsona,alexanderabramov,12.0,3,pr_review:3
bclozel,alimate,4.0,1,pr_review:1
snicoll,StitzL,4.0,1,pr_review:1
spencergibb,vladdoster,4.0,1,pr_changes_requested:1
snicoll,joshiste,4.0,1,pr_changes_requested:1
jonatan-ivanov,oppegard,8.0,2,pr_review:2
pirateskipper,onobc,4.0,1,pr_review:1
wilkinsona,nosan,48.0,12,pr_review:12
snicoll,agg505,4.0,1,pr_review:1
wilkinsona,TheHound,4.0,1,pr_changes_requested:1
philwebb,famaridon,4.0,1,pr_review:1
vpavic,jonatan-ivanov,32.0,8,pr_review:8
adutra,tomekl007,12.0,3,pr_review:2;pr_changes_requested:1
mveitas,michaelmcfadyen,4.0,1,pr_review:1
snicoll,filiphr,4.0,1,pr_review:1
mbhave,dreis2211,36.0,9,pr_review:9
bclozel,spencergibb,5.0,1,pr_merged:1
wilkinsona,timtebeek,4.0,1,pr_review:1
wilkinsona,mikesmithson,8.0,2,pr_review:1;pr_changes_requested:1
akashpawar6474,quaff,8.0,2,pr_review:2
izeye,onobc,4.0,1,pr_review:1
mbhave,sdoxsee,4.0,1,pr_review:1
wilkinsona,meistermeier,4.0,1,pr_changes_requested:1
snicoll,JohnNiang,8.0,2,pr_review:2
snicoll,jason-liu475,4.0,1,pr_review:1
wilkinsona,xak2000,4.0,1,pr_changes_requested:1
marcingrzejszczak,jonatan-ivanov,4.0,1,pr_review:1
artembilan,almogtavor,8.0,2,pr_review:2
wilkinsona,sdeleuze,12.0,3,pr_review:3
quaff,eddumelendez,8.0,2,pr_review:2
mjf1310,dsyer,4.0,1,pr_review:1
eddumelendez,quaff,8.0,2,pr_review:2
wilkinsona,jonas-grgt,4.0,1,pr_review:1
wilkinsona,ngocnhan-tran1996,20.0,5,pr_review:5
jonatan-ivanov,onobc,12.0,3,pr_review:2;pr_approved:1
jkschneider,alexanderabramov,24.0,6,pr_review:6
snicoll,qct,8.0,2,pr_review:2
onobc,vpavic,8.0,2,pr_review:2
wilkinsona,grudir,4.0,1,pr_changes_requested:1
wilkinsona,theodorosidmar,4.0,1,pr_changes_requested:1
snicoll,TYsewyn,4.0,1,pr_review:1
wilkinsona,rhamedy,4.0,1,pr_review:1
wilkinsona,candrews,4.0,1,pr_review:1
weixsun,francislavoie,8.0,2,pr_review:2
wilkinsona,vpavic,20.0,5,pr_review:5
wilkinsona,filiphr,4.0,1,pr_review:1
wilkinsona,eddumelendez,48.0,12,pr_review:10;pr_changes_requested:2
philwebb,mjimani,4.0,1,pr_changes_requested:1
mhalbritter,ThomasVitale,4.0,1,pr_review:1
wilkinsona,ayudovin,24.0,6,pr_review:4;pr_approved:1;pr_changes_requested:1
snicoll,pirgeo,12.0,3,pr_review:3
jonatan-ivanov,izeye,12.0,3,pr_review:3
nosan,kwondh5217,16.0,4,pr_review:4
mhalbritter,codefromthecrypt,32.0,8,pr_review:8
mhalbritter,wanger26,4.0,1,pr_review:1
mhalbritter,move-hoon,4.0,1,pr_review:1
mamadaliev,polarbear567,4.0,1,pr_review:1
wilkinsona,vkiriushkin,4.0,1,pr_review:1
wilkinsona,62mkv,12.0,3,pr_review:2;pr_changes_requested:1
artembilan,garyrussell,4.0,1,pr_review:1
mhalbritter,quaff,8.0,2,pr_review:2
mario-buratto-ifood,rodolphocouto,4.0,1,pr_approved:1
philwebb,gaohanghang,4.0,1,pr_review:1
mhalbritter,mturbe,4.0,1,pr_changes_requested:1
snicoll,jaminh,4.0,1,pr_review:1
mhalbritter,terminux,4.0,1,pr_review:1
wilkinsona,ppkarwasz,4.0,1,pr_review:1
jonatan-ivanov,eddumelendez,4.0,1,pr_review:1
shakuzen,emerkle826,8.0,2,pr_review:2
snicoll,mihhail-lapushkin,4.0,1,pr_changes_requested:1
wilkinsona,izeye,64.0,16,pr_review:16
wilkinsona,AaronTraas,12.0,3,pr_review:2;pr_approved:1
wilkinsona,oppegard,4.0,1,pr_review:1
theoalmeida-ifood,rodolphocouto,4.0,1,pr_approved:1
jkschneider,izeye,8.0,2,pr_review:2
artembilan,sparty02,4.0,1,pr_review:1
wilkinsona,scheerer,8.0,2,pr_review:2
